date,signal_type,right,strike,confidence,confidence_tier,regime,spy_entry,spy_exit,entry_premium,exit_premium,pnl_per_contract,pnl_pct,holding_hours,vix,iv_rank,month
2025-11-04,CALL_SWEEP,C,681.0,0.8037665633310587,HIGH,TREND_UP,671.4169921875,666.514892578125,3.49,1.5,-174.29,-50.0,48.0,19.0,14.230570021619643,2025-11
2025-11-05,CALL_SWEEP,C,676.0,0.7652862522714602,MEDIUM,TREND_UP,673.7437133789062,667.1710815429688,5.91,2.69,-295.43,-50.0,48.0,18.010000228881836,11.682963919527658,2025-11
2025-11-06,PUT_SWEEP,P,660.0,0.832197559649313,HIGH,RANGE_BOUND,666.514892578125,677.5819091796875,4.15,0.62,-207.6,-50.0,48.0,19.5,15.517240067621053,2025-11
2025-11-07,PUT_SWEEP,P,663.0,0.8288277562551535,HIGH,RANGE_BOUND,667.1710815429688,677.5819091796875,4.89,1.27,-244.5,-50.0,24.0,19.079999923706055,14.436437032649602,2025-11
2025-11-10,CALL_SWEEP,C,675.0,0.8401906354898234,HIGH,RANGE_BOUND,677.5819091796875,679.5108642578125,8.28,8.34,6.82,0.82,48.0,17.600000381469727,10.62789487446704,2025-11
2025-11-11,CALL_SWEEP,C,676.0,0.8457432342181422,HIGH,RANGE_BOUND,679.1329956054688,668.2350463867188,8.49,3.27,-424.65,-50.0,48.0,17.280000686645508,9.80442683034721,2025-11
2025-11-12,CALL_SWEEP,C,686.0,0.7896340164459504,MEDIUM,TREND_UP,679.5108642578125,668.2350463867188,4.07,1.46,-203.4,-50.0,24.0,17.510000228881836,10.396293873526249,2025-11
2025-11-13,PUT_SWEEP,P,665.0,0.8178855893239193,HIGH,RANGE_BOUND,668.2350463867188,661.901123046875,5.61,8.36,274.37,48.87,48.0,20.0,16.80391011362246,2025-11
2025-11-14,PUT_SWEEP,P,671.0,0.7650048491528657,MEDIUM,RANGE_BOUND,668.125732421875,656.3428344726562,8.54,16.79,825.2,96.66,48.0,19.829999923706055,16.366442101651714,2025-11
2025-11-17,PUT_SWEEP,P,668.0,0.8074141884765839,HIGH,RANGE_BOUND,661.901123046875,658.87841796875,11.27,12.49,121.79,10.8,48.0,22.3799991607666,22.928457372956217,2025-11
2025-11-18,PUT_SWEEP,P,649.0,0.8411271234805725,HIGH,TREND_DOWN,656.3428344726562,648.8355712890625,5.5,7.89,238.53,43.37,48.0,24.690000534057617,28.872876519427553,2025-11
2025-11-19,PUT_SWEEP,P,650.0,0.843271706443659,HIGH,TREND_DOWN,658.87841796875,655.2987670898438,4.65,4.65,0.02,0.0,48.0,23.65999984741211,26.222334457692238,2025-11
2025-11-20,PUT_SWEEP,P,645.0,0.8366752462993892,HIGH,HIGH_VOL,648.8355712890625,655.2987670898438,7.4,3.56,-370.21,-50.0,24.0,26.420000076293945,33.32475370061082,2025-11
2025-11-21,PUT_SWEEP,P,649.0,0.8129911998603339,HIGH,TREND_DOWN,655.2987670898438,664.9437866210938,5.45,1.58,-272.41,-50.0,24.0,23.43000030517578,25.6304674145132,2025-11
